Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Pclass,Survived
Mr. Richard James Slemen,male,35,0,0,10.5,2nd,no
Miss. Ebba Iris Alfrida Andersson,female,6,4,2,31.275,3rd,no
Mr. Ernest Portage Tomlin,male,30.5,0,0,8.05,3rd,no
Mr. Richard Fry,male,39,0,0,0,1st,no
Miss. Wendla Maria Heininen,female,23,0,0,7.925,3rd,no
Mr. Albert Mallet,male,31,1,1,37.0042,2nd,no
Mr. John Fredrik Alexander Holm,male,43,0,0,6.45,3rd,no
Master. Karl Thorsten Skoog,male,10,3,2,27.9,3rd,no
Mrs. Charles Melville (Clara Jennings Gregg) Hays,female,52,1,1,93.5,1st,yes
Mr. Nikola Lulic,male,27,0,0,8.6625,3rd,yes
Jonkheer. John George Reuchlin,male,38,0,0,0,1st,no
Mrs. (Beila) Moor,female,27,0,1,12.475,3rd,yes
Master. Urho Abraham Panula,male,2,4,1,39.6875,3rd,no
Mr. John Flynn,male,36,0,0,6.95,3rd,no
Mr. Len Lam,male,23,0,0,56.4958,3rd,no
Master. Andre Mallet,male,1,0,2,37.0042,2nd,yes
Mr. Thomas Joseph McCormack,male,19,0,0,7.75,3rd,yes
Mrs. George Nelson (Martha Evelyn) Stone,female,62,0,0,80,1st,yes
Mrs. Antoni (Selini Alexander) Yasbeck,female,15,1,0,14.4542,3rd,yes
Master. George Sibley Richards,male,0.83,1,1,18.75,2nd,yes
Mr. Amin Saad,male,30,0,0,7.2292,3rd,no
Mr. Albert Augustsson,male,23,0,0,7.8542,3rd,no
Mr. Owen George Allum,male,18,0,0,8.3,3rd,no
Miss. Sara Rebecca Compton,female,39,1,1,83.1583,1st,yes
Mr. Jakob Pasic,male,21,0,0,8.6625,3rd,no
Mr. Maurice Sirota,male,20,0,0,8.05,3rd,no
Mr. Chang Chip,male,32,0,0,56.4958,3rd,yes
Mr. Pierre Marechal,male,29,0,0,29.7,1st,yes
Mr. Ilmari Rudolf Alhomaki,male,20,0,0,7.925,3rd,no
Mr. Thomas Charles Mudd,male,16,0,0,10.5,2nd,no
Miss. Augusta Serepeca,female,30,0,0,31,1st,yes
Mr. Peter L Lemberopolous,male,34.5,0,0,6.4375,3rd,no
Mr. Jeso Culumovic,male,17,0,0,8.6625,3rd,no
Mr. Anthony Abbing,male,42,0,0,7.55,3rd,no
Mr. Douglas Bullen Sage,male,18,8,2,69.55,3rd,no
Mr. Marin Markoff,male,35,0,0,7.8958,3rd,no
Rev. John Harper,male,28,0,1,33,2nd,no
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,female,40,1,0,89.1042,1st,yes
Master. Sigvard Harald Elias Andersson,male,4,4,2,31.275,3rd,no
Mr. Johan Svensson,male,74,0,0,7.775,3rd,no
Miss. Nourelain Boulos,female,9,1,1,15.2458,3rd,no
Miss. Mary Conover Lines,female,16,0,1,39.4,1st,yes
Mrs. Ernest Courtenay (Lilian Hughes) Carter,female,44,1,0,26,2nd,no
Mrs. Sam (Leah Rosen) Aks,female,18,0,1,9.35,3rd,yes
Mrs. George Dennick (Mary Hitchcock) Wick,female,45,1,1,164.8667,1st,yes
Mr. Peter Denis Daly,male,51,0,0,26.55,1st,yes
Mrs. Solomon (Latifa Qurban) Baclini,female,24,0,3,19.2583,3rd,yes
Mr. Raihed Razi,male,30,0,0,7.2292,3rd,no
Mr. Claus Peter Hansen,male,41,2,0,14.1083,3rd,no
Mr. Frederick Edward Giles,male,21,1,0,11.5,2nd,no
Mrs. Frederick Joel (Margaret Welles Barron) Swift,female,48,0,0,25.9292,1st,yes
Miss. Dorothy Edith Sage,female,14,8,2,69.55,3rd,no
Mr. John William Gill,male,24,0,0,13,2nd,no
Mrs. (Karolina) Bystrom,female,42,0,0,13,2nd,yes
Miss. Asuncion Duran y More,female,27,1,0,13.8583,2nd,yes
Mr. Washington Augustus II Roebling,male,31,0,0,50.4958,1st,no
Mr. Philemon van Melkebeke,male,23,0,0,9.5,3rd,no
Master. Harold Theodor Johnson,male,4,1,1,11.1333,3rd,yes
Mr. Cerin Balkic,male,26,0,0,7.8958,3rd,no
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,female,47,1,1,52.5542,1st,yes
Mr. Frans Olof Carlsson,male,33,0,0,5,1st,no
Mr. Victor Vander Cruyssen,male,47,0,0,9,3rd,no
Mrs. Samuel (Hannah Wizosky) Abelson,female,28,1,0,24,2nd,yes
Miss. Adele Kiamie Najib,female,15,0,0,7.225,3rd,yes
Mr. Alfred Ossian Gustafsson,male,20,0,0,9.8458,3rd,no
Mr. Nedelio Petroff,male,19,0,0,7.8958,3rd,no
Mr. Kristo Laleff,male,23,0,0,7.8958,3rd,no
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,female,56,0,1,83.1583,1st,yes
Mrs. William (Imanita Parrish Hall) Shelley,female,25,0,1,26,2nd,yes
Mr. Johann Markun,male,33,0,0,7.8958,3rd,no
Miss. Gerda Ulrika Dahlberg,female,22,0,0,10.5167,3rd,no
Mr. Frederick James Banfield,male,28,0,0,10.5,2nd,no
Mr. Henry Jr Sutehall,male,25,0,0,7.05,3rd,no
Mrs. William (Margaret Norton) Rice,female,39,0,5,29.125,3rd,no
Rev. Juozas Montvila,male,27,0,0,13,2nd,no
Miss. Margaret Edith Graham,female,19,0,0,30,1st,yes
Miss. Catherine Helen Johnston,female,7,1,2,23.45,3rd,no
Mr. Karl Howell Behr,male,26,0,0,30,1st,yes
Mr. Patrick Dooley,male,32,0,0,7.75,3rd,no
